isbn,title,author,price,nstc,format,publisher,release_date,language,store_stock,store-location,boekpagina_url,,cover_url
9.78006E+12,Warriors: Omen of the Stars Box Set: Volumes 1 to 6,Erin Hunter,9.99,2468229,midprice,HarperCollins Publishers Inc,16/08/2001,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780062382641,,https://images.mind-books.nl/libris/book/cover/9780062382641
9.78006E+12,A Thousand Beginnings and Endings,Ellen Oh ; Rahul Kanakia ; Elsie Chapman ; Renee Ahdieh,22.5,2468635,Paperback,HarperCollins Publishers Inc,15/05/2020,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780062671165,,https://images.mind-books.nl/libris/book/cover/9780062671165
9.78006E+12,Simon vs. the Homo Sapiens Agenda,Becky Albertalli,15.99,2468454,Hardcover,Collins,22/06/2023,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780062792167,,https://images.mind-books.nl/libris/book/cover/9780062792167
9.78006E+12,Iron Heart,Nina Varela,9.95,2468366,Paperback,HarperCollins Publishers Inc,15/05/2022,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780062823984,,https://images.mind-books.nl/libris/book/cover/9780062823984
9.78006E+12,Tools of Engagement,Tessa Bailey,9.95,2468906,Paperback,HarperCollins Publishers Inc,06/02/2025,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780062872937,,https://images.mind-books.nl/libris/book/cover/9780062872937
9.78006E+12,150 Best Tiny Interior Ideas,Francesc Zamora,9.99,2468262,Paperback,Harper,22/06/2011,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780063138919,,https://images.mind-books.nl/libris/book/cover/9780063138919
9.78006E+12,The Hurricane Wars,Thea Guanzon,22.5,2468656,Paperback,Collins,09/11/2010,ENG,1,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780063277274,,https://images.mind-books.nl/libris/book/cover/9780063277274
9.7801E+12,Amsterdam,Ian McEwan,5,2468900,Paperback,Vintage,05/02/2025,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780099272779,,https://images.mind-books.nl/libris/book/cover/9780099272779
9.7801E+12,The Emigrants,W.G. Sebald,15,2468676,Paperback,Vintage Classics,22/06/2023,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780099448884,,https://images.mind-books.nl/libris/book/cover/9780099448884
9.7801E+12,The Wilt Inheritance,Tom Sharpe,7.5,2468316,Paperback,Arrow Books Ltd,01/01/2008,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780099493136,,https://images.mind-books.nl/libris/book/cover/9780099493136
9.7801E+12,What I Talk About When I Talk About Running,Haruki Murakami,7.5,2468239,Paperback,Vintage,16/08/2011,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780099532538,,https://images.mind-books.nl/libris/book/cover/9780099532538
9.78014E+12,Leaves of Grass,Walt Whitman,5,2469005,e-book,Penguin Books Ltd,15/05/2021,ENG,0,Online kopen,https://libris.nl/zoek?q=9780140421996,,https://images.mind-books.nl/libris/book/cover/9780140421996
9.78014E+12,The Prose Edda,Snorri Sturluson,9.99,2468283,e-book,Penguin Classics,06/02/2008,ENG,0,Online kopen,https://libris.nl/zoek?q=9780140447552,,https://images.mind-books.nl/libris/book/cover/9780140447552
9.78014E+12,The Fountainhead,Ayn Rand,9.95,2468766,Paperback,Penguin Classics,09/11/2015,ENG,2,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780141188621,,https://images.mind-books.nl/libris/book/cover/9780141188621
9.78014E+12,Siddhartha,Hermann Hesse,15.99,2468537,Paperback,Penguin Books Ltd,08/04/2024,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780141189574,,https://images.mind-books.nl/libris/book/cover/9780141189574
9.78014E+12,The Orwell Diaries,George Orwell,22.5,2469026,Hardcover,Penguin Classics,03/12/2020,ENG,1,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780141191546,,https://images.mind-books.nl/libris/book/cover/9780141191546
9.78014E+12,Gladiator: Fight for Freedom,Simon Scarrow,9.99,2468431,e-book,Puffin,16/08/2019,ENG,0,Online kopen,https://libris.nl/zoek?q=9780141328584,,https://images.mind-books.nl/libris/book/cover/9780141328584
9.78014E+12,The Throne of Fire (The Kane Chronicles Book 2),Rick Riordan,22.5,2468921,Paperback,Puffin,06/02/2025,ENG,1,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780141335674,,https://images.mind-books.nl/libris/book/cover/9780141335674
9.78014E+12,Escape to Oz: A Colouring Book Adventure,Good Wives and Warriors,10,2469075,Paperback,Penguin Random House Children's UK,15/05/2021,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780141375489,,https://images.mind-books.nl/libris/book/cover/9780141375489
9.78014E+12,The Prince,Niccolo Machiavelli,9.95,2468857,Paperback,Penguin Classics,16/08/2025,ENG,2,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780141395876,,https://images.mind-books.nl/libris/book/cover/9780141395876
9.78014E+12,The Greek Revolution,Mark Mazower,9.99,2468243,e-book,Penguin Books Ltd,16/08/2015,ENG,0,Online kopen,https://libris.nl/zoek?q=9780141978741,,https://images.mind-books.nl/libris/book/cover/9780141978741
9.78014E+12,Philosopher of the Heart,Clare Carlisle,9.95,2468312,Paperback,Penguin Books Ltd,01/01/2004,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780141984438,,https://images.mind-books.nl/libris/book/cover/9780141984438
9.78014E+12,Clear Bright Future,Paul Mason,9.99,2468806,Hardcover,Penguin Books Ltd,22/06/2024,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780141986722,,https://images.mind-books.nl/libris/book/cover/9780141986722
9.78014E+12,The Climate Book,"THUNBERG,  Greta",15.99,2468869,Paperback,Penguin Books UK,05/01/2025,ENG,1,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780141999043,,https://images.mind-books.nl/libris/book/cover/9780141999043
9.78014E+12,Transit Maps of the World,Mark Ovenden,9.95,2469116,Paperback,Penguin Publishing Group,16/08/2020,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780143128496,,https://images.mind-books.nl/libris/book/cover/9780143128496
9.78019E+12,Indian Philosophy,Sue (Formerly of the Department of Theology and Religious Studies Hamilton,15.99,2468504,Paperback,Oxford University Press,04/03/2020,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780192853745,,https://images.mind-books.nl/libris/book/cover/9780192853745
9.7802E+12,Contemporary Art,Julian (Professor of Art History Stallabrass,9.95,2468456,Paperback,Oxford University Press,06/02/1997,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780198826620,,https://images.mind-books.nl/libris/book/cover/9780198826620
9.7802E+12,Biogeography,Mark V. (Professor of Biology Lomolino,15.99,2468876,Hardcover,Oxford University Press,12/01/2025,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780198850069,,https://images.mind-books.nl/libris/book/cover/9780198850069
9.78023E+12,The Story of Life in 25 Fossils,Donald R. Prothero,15,2468471,Paperback,Columbia University Press,06/02/2012,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780231171915,,https://images.mind-books.nl/libris/book/cover/9780231171915
9.78024E+12,The Way of a Pilgrim,Andrew Louth,17.5,2468626,Paperback,Penguin Classics,06/02/2021,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241201350,,https://images.mind-books.nl/libris/book/cover/9780241201350
9.78024E+12,Single & Single,John le Carre,12.5,2468318,midprice,Penguin Classics,01/01/2009,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241337318,,https://images.mind-books.nl/libris/book/cover/9780241337318
9.78024E+12,The Skeleton's Holiday,Leonora Carrington,9.95,2468889,Paperback,Penguin Classics,25/01/2025,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241339169,,https://images.mind-books.nl/libris/book/cover/9780241339169
9.78024E+12,Notes on Camp,Susan Sontag,12.5,2469052,Hardcover,Penguin Classics,16/08/2020,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241339701,,https://images.mind-books.nl/libris/book/cover/9780241339701
9.78024E+12,On the Road,Jack Kerouac,22.5,2468787,Paperback,Penguin Books Ltd,10/09/2023,ENG,3,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241347959,,https://images.mind-books.nl/libris/book/cover/9780241347959
9.78024E+12,The Very Hungry Caterpillar's Christmas Eve,Eric Carle,12.5,2468926,e-book,Penguin Random House Children's UK,06/02/2025,ENG,0,Online kopen,https://libris.nl/zoek?q=9780241350249,,https://images.mind-books.nl/libris/book/cover/9780241350249
9.78024E+12,Wham! george and me,andrew ridgeley,12.5,2468691,Paperback,Penguin UK,16/08/2025,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241385814,,https://images.mind-books.nl/libris/book/cover/9780241385814
9.78024E+12,Signs & Symbols,Miranda Bruce-Mitford,9.99,2468498,e-book,Dorling Kindersley Ltd,04/03/2014,ENG,0,Online kopen,https://libris.nl/zoek?q=9780241387047,,https://images.mind-books.nl/libris/book/cover/9780241387047
9.78024E+12,The Faces,Tove Ditlevsen,22.5,2468678,Hardcover,Penguin Books Ltd,22/06/2023,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241391914,,https://images.mind-books.nl/libris/book/cover/9780241391914
9.78024E+12,Right After the Weather,Carol Anshaw,25,2469133,Paperback,Penguin Books Ltd,04/03/2021,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241392805,,https://images.mind-books.nl/libris/book/cover/9780241392805
9.78024E+12,Accomplishment,"BARBER,  Michael",9.95,2469033,Paperback,Penguin Books Ltd,06/02/2021,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241409916,,https://images.mind-books.nl/libris/book/cover/9780241409916
9.78024E+12,The Call of the Wild,Jack London,12.5,2468727,e-book,Puffin,03/12/2022,ENG,0,Online kopen,https://libris.nl/zoek?q=9780241440766,,https://images.mind-books.nl/libris/book/cover/9780241440766
9.78024E+12,The Little Prince,Antoine de Saint-Exupery,7.5,2469028,Paperback,Penguin Random House Children's UK,06/02/2021,ENG,5,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241444313,,https://images.mind-books.nl/libris/book/cover/9780241444313
9.78024E+12,The Penguin Book of Korean Short Stories,Bruce Fulton,10,2468629,e-book,Penguin Books Ltd,06/02/2024,ENG,0,Online kopen,https://libris.nl/zoek?q=9780241448489,,https://images.mind-books.nl/libris/book/cover/9780241448489
9.78024E+12,DK Eyewitness Greek Islands,DK Eyewitness,7.5,2468250,Paperback,Dorling Kindersley Ltd,16/08/2022,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241462942,,https://images.mind-books.nl/libris/book/cover/9780241462942
9.78024E+12,Breaking Boundaries,Johan Rockstrom ; Owen Gaffney,9.99,2468334,e-book,Dorling Kindersley Ltd,01/01/2014,ENG,0,Online kopen,https://libris.nl/zoek?q=9780241466759,,https://images.mind-books.nl/libris/book/cover/9780241466759
9.78024E+12,The Seven Ages of Death,Dr Richard Shepherd,9.95,2468801,Paperback,Penguin Books Ltd,08/04/2024,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241472033,,https://images.mind-books.nl/libris/book/cover/9780241472033
9.78024E+12,Traditionalism,Mark Sedgwick,9.95,2469077,Paperback,Penguin Books Ltd,22/06/2021,ENG,2,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241487921,,https://images.mind-books.nl/libris/book/cover/9780241487921
9.78024E+12,Dublin Like a Local,DK Eyewitness ; Nicola Brady ; Eadaoin Fitzmaurice,15.99,2468927,Hardcover,Dorling Kindersley Ltd,04/03/2025,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241490709,,https://images.mind-books.nl/libris/book/cover/9780241490709
9.78024E+12,Captain Tom's Life Lessons,Captain Tom Moore,9.95,2468774,Hardcover,Penguin Books Ltd,09/11/2023,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241504017,,https://images.mind-books.nl/libris/book/cover/9780241504017
9.78024E+12,Penguin Readers Level 7: Artificial Intelligence (ELT Graded Reader),Michael Wooldridge,7.5,2469120,Paperback,Penguin Books Ltd,09/11/2020,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241542606,,https://images.mind-books.nl/libris/book/cover/9780241542606
9.78024E+12,NIGHTMARE BEFORE CHRISTMAS,TIM BURTON,12.5,2468567,Paperback,Puffin,10/09/2012,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241545515,,https://images.mind-books.nl/libris/book/cover/9780241545515
9.78024E+12,The History of Information,Chris Haughton,9.95,2468256,Paperback,DK Children,15/05/2021,ENG,2,Kinderboeken - Engelstalig ,https://libris.nl/zoek?q=9780241553916,,https://images.mind-books.nl/libris/book/cover/9780241553916
9.78024E+12,Liar's Beach,Katie Cotugno,22.5,2468292,Paperback,Penguin Random House Children's UK,06/02/2017,ENG,3,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241612675,,https://images.mind-books.nl/libris/book/cover/9780241612675
9.78024E+12,Stig of the Dump,Clive King,9.99,2468543,e-book,Penguin Random House Children's UK,06/02/2025,ENG,0,Online kopen,https://libris.nl/zoek?q=9780241623909,,https://images.mind-books.nl/libris/book/cover/9780241623909
9.78024E+12,Shakespeare,Judi Dench,10,,Paperback,Penguin Books Ltd,15/05/2021,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241632178,,https://images.mind-books.nl/libris/book/cover/9780241632178
9.78024E+12,Shakespeare: The Man Who Pays The Rent,Judi Dench,5,,Paperback,Michael Joseph,15/05/2021,ENG,2,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241638200,,https://images.mind-books.nl/libris/book/cover/9780241638200
9.78024E+12,Peter Rabbit: Christmas Tales,Beatrix Potter,9.99,2468305,e-book,Penguin Random House Children's UK,01/01/1997,ENG,0,Online kopen,https://libris.nl/zoek?q=9780241642863,,https://images.mind-books.nl/libris/book/cover/9780241642863
9.78024E+12,The North Pole,Erling Kagge,15.99,2468659,Paperback,Penguin Books Ltd,09/11/2013,ENG,2,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241645833,,https://images.mind-books.nl/libris/book/cover/9780241645833
9.78024E+12,Can Socialists be Happy?,George Orwell,9.99,2468253,e-book,Penguin Books Ltd,16/08/2025,ENG,0,Online kopen,https://libris.nl/zoek?q=9780241746905,,https://images.mind-books.nl/libris/book/cover/9780241746905
9.78024E+12,This Is Not a Small Voice,Sonia Sanchez,9.95,2468922,Paperback,Penguin Books Ltd,06/02/2025,ENG,4,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241756041,,https://images.mind-books.nl/libris/book/cover/9780241756041
9.78024E+12,Penguin essentials The help,kathryn stockett,15,2468897,Paperback,Penguin Books Ltd,02/02/2025,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241978900,,https://images.mind-books.nl/libris/book/cover/9780241978900
9.78024E+12,The Missing Sister,Dinah Jefferies,9.95,2468378,Paperback,Penguin Books Ltd,22/06/2018,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241985434,,https://images.mind-books.nl/libris/book/cover/9780241985434
9.78024E+12,Numbers Don't Lie,Vaclav Smil,9.95,2468572,Paperback,Penguin Books Ltd,10/09/2017,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241989692,,https://images.mind-books.nl/libris/book/cover/9780241989692
9.78024E+12,The Vienna Writers Circle,J. C. Maetis,25,2468954,Paperback,Penguin Books Ltd,10/09/2020,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780241998892,,https://images.mind-books.nl/libris/book/cover/9780241998892
9.78026E+12,The Lord of the Rings,J. R. R. Tolkien,22.5,2468167,midprice,HarperCollins Publishers,15/05/2007,ENG,7,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780261102385,,https://images.mind-books.nl/libris/book/cover/9780261102385
9.7803E+12,Henry van de Velde,Katherine M. Kuenzli,9.95,2468651,Paperback,Yale University Press,09/11/2005,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780300226669,,https://images.mind-books.nl/libris/book/cover/9780300226669
9.7803E+12,Tattoos,Matt Lodder,12.5,2469122,Hardcover,Yale University Press,09/11/2020,ENG,3,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780300269390,,https://images.mind-books.nl/libris/book/cover/9780300269390
9.78031E+12,Smash!,Ian Winwood,15,2469096,Paperback,Da Capo Press Inc,06/02/2021,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780306902741,,https://images.mind-books.nl/libris/book/cover/9780306902741
9.78032E+12,Sugar Plum Ballerinas: Tutu Many Problems (previously published as Terrible Terrel),Whoopi Goldberg ; Deborah Underwood,10,2468833,audiobook,"Little, Brown Young Readers",22/06/2025,ENG,0,Online kopen,https://libris.nl/zoek?q=9780316294805,,https://images.mind-books.nl/libris/book/cover/9780316294805
9.78032E+12,The Final Gambit,Jennifer Lynn Barnes,15.99,2468720,Paperback,"Little, Brown Books for Young Readers",03/12/2021,ENG,2,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780316370950,,https://images.mind-books.nl/libris/book/cover/9780316370950
9.78033E+12,Sworn Brother,Tim Severin,10,2468865,Paperback,Pan Books,01/01/2025,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780330426749,,https://images.mind-books.nl/libris/book/cover/9780330426749
9.78035E+12,The Passage,Justin Cronin,9.95,2468763,Paperback,Random House Inc,09/11/2012,ENG,1,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780345504975,,https://images.mind-books.nl/libris/book/cover/9780345504975
9.78035E+12,A Green Equinox,Elizabeth Mavor,15.99,2468750,Paperback,"Little, Brown Book Group",22/06/2014,ENG,2,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780349018393,,https://images.mind-books.nl/libris/book/cover/9780349018393
9.78035E+12,Bibliotherapy,Bijal Shah,15,2468913,Paperback,"Little, Brown Book Group",22/06/2025,ENG,2,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780349436036,,https://images.mind-books.nl/libris/book/cover/9780349436036
9.78035E+12,King of Envy,Ana Huang,9.95,2469014,Paperback,Piatkus Books,16/08/2021,ENG,31,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780349436395,,https://images.mind-books.nl/libris/book/cover/9780349436395
9.78035E+12,The Striker,Ana Huang,9.99,2468324,e-book,Piatkus Books,01/01/2014,ENG,0,Online kopen,https://libris.nl/zoek?q=9780349442259,,https://images.mind-books.nl/libris/book/cover/9780349442259
9.78036E+12,The Autumn Republic,Brian McClellan,9.99,2468190,e-book,"Little, Brown Book Group",22/06/2014,ENG,0,Online kopen,https://libris.nl/zoek?q=9780356502076,,https://images.mind-books.nl/libris/book/cover/9780356502076
9.78037E+12,The Odd Woman and the City,Vivian Gornick,12.5,2468648,e-book,Farrar Straus & Giroux,10/09/2009,ENG,0,Online kopen,https://libris.nl/zoek?q=9780374536152,,https://images.mind-books.nl/libris/book/cover/9780374536152
9.78039E+12,Old Babes in the Wood,Margaret Eleanor Atwood,15,2468209,Paperback,Doubleday & Co Inc.,22/06/2013,ENG,1,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780385549073,,https://images.mind-books.nl/libris/book/cover/9780385549073
9.78039E+12,The Man Who Made Things Out of Trees - The Ash in Human Culture and History,Robert Penn,22.5,2468915,Paperback,W. W. Norton & Company,16/08/2025,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780393354126,,https://images.mind-books.nl/libris/book/cover/9780393354126
9.78044E+12,The Lost Stories (Ranger's Apprentice Book 11),John Flanagan,12.5,2468971,e-book,Yearling (imprint of Random House Children's Books),15/05/2021,ENG,0,Online kopen,https://libris.nl/zoek?q=9780440869931,,https://images.mind-books.nl/libris/book/cover/9780440869931
9.7805E+12,Cold War Steve Presents... The Festival of Brexit,"STEVE,  Cold War",22.5,2469102,hardcover,Thames & Hudson Ltd,15/05/2021,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780500022894,,https://images.mind-books.nl/libris/book/cover/9780500022894
9.7805E+12,321 Seriously Smart Things You Need To Know,Mathilda Masters,15,2468557,Paperback,Thames & Hudson Ltd,10/09/2002,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780500296028,,https://images.mind-books.nl/libris/book/cover/9780500296028
9.7805E+12,Photography: The Whole Story,Juliet Hacking ; David Campany,9.95,2468326,Hardcover,0,01/01/2015,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780500296103,,https://images.mind-books.nl/libris/book/cover/9780500296103
9.78052E+12,The Principia: The Authoritative Translation,Sir Isaac Newton,15.99,2468302,Paperback,University of California Press,04/03/2010,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780520290747,,https://images.mind-books.nl/libris/book/cover/9780520290747
9.78053E+12,The Illuminae Files 3. Obsidio,"KAUFMAN,  Amie",9.95,2469011,Paperback,Knopf,22/06/2021,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780525578437,,https://images.mind-books.nl/libris/book/cover/9780525578437
9.78053E+12,The Armor of Light,Ken Follett,15,2468611,Paperback,Penguin Group USA,13/10/2023,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780525954996,,https://images.mind-books.nl/libris/book/cover/9780525954996
9.78054E+12,The Bookshop,Penelope Fitzgerald,9.99,2468426,Paperback,Harper Paperbacks,16/08/2014,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780544484092,,https://images.mind-books.nl/libris/book/cover/9780544484092
9.78055E+12,The Ends of the Earth,Robert Goddard,9.99,2468829,Paperback,Corgi Books,08/04/2025,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780552172837,,https://images.mind-books.nl/libris/book/cover/9780552172837
9.78055E+12,The Amazing Maurice and his Educated Rodents,Terry Pratchett,9.95,2468867,Paperback,Penguin Random House Children's UK,03/01/2025,ENG,1,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780552576802,,https://images.mind-books.nl/libris/book/cover/9780552576802
9.78057E+12,The Spirit Level,Seamus Heaney,9.95,2468984,Paperback,Faber & Faber,16/08/2020,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780571178223,,https://images.mind-books.nl/libris/book/cover/9780571178223
9.78057E+12,Ariel,Sylvia Plath,12.5,2468384,Hardcover,Faber & Faber,22/06/2024,ENG,1,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780571322725,,https://images.mind-books.nl/libris/book/cover/9780571322725
9.78057E+12,The New York Trilogy,Paul Auster,17.5,2468692,Paperback,Faber & Faber,15/05/2019,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780571322800,,https://images.mind-books.nl/libris/book/cover/9780571322800
9.78057E+12,The Park Bench,Chaboute,7.5,2468576,Paperback,Faber & Faber,10/09/2021,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780571332304,,https://images.mind-books.nl/libris/book/cover/9780571332304
9.78057E+12,Gender Swapped Fairy Tales,Karrie Fransman ; Jonathan Plackett,15.99,2468342,midprice,Faber & Faber,01/02/2016,ENG,0,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780571360185,,https://images.mind-books.nl/libris/book/cover/9780571360185
9.78057E+12,The Woman in the Purple Skirt,Natsuko Imamura,12.5,2469106,e-book,Faber & Faber,15/05/2021,ENG,0,Online kopen,https://libris.nl/zoek?q=9780571364688,,https://images.mind-books.nl/libris/book/cover/9780571364688
9.78057E+12,The Drowned,John Banville,15.99,2468526,Paperback,Faber & Faber,08/04/2013,ENG,12,Fictie - Engelstalig ,https://libris.nl/zoek?q=9780571370832,,https://images.mind-books.nl/libris/book/cover/9780571370832
9.78057E+12,God and the Devil,Peter Cowie,7.5,2469038,e-book,Faber & Faber,15/05/2021,ENG,0,Online kopen,https://libris.nl/zoek?q=9780571370900,,https://images.mind-books.nl/libris/book/cover/9780571370900
